tau,theta,R1,R5,R10,active_rate,mean_alpha
2.0,0.07,85.13513513513513,91.8918918918919,92.34234234234235,0.05855855855855856,0.9738887548446655
2.0,0.075,85.13513513513513,91.8918918918919,92.34234234234235,0.036036036036036036,0.9840479493141174
2.0,0.08,85.13513513513513,91.8918918918919,92.34234234234235,0.02252252252252252,0.9895108938217163
2.0,0.085,85.13513513513513,91.8918918918919,92.34234234234235,0.013513513513513514,0.9940025806427002
2.0,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9984638094902039
2.0,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9984638094902039
2.0,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9984638094902039
2.0,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9984638094902039
2.0,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9984638094902039
2.0,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
2.0,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
3.0,0.0,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49972644448280334
3.0,0.005,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49972644448280334
3.0,0.01,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49972644448280334
3.0,0.015,83.33333333333334,90.09009009009009,92.34234234234235,0.9954954954954955,0.502038300037384
3.0,0.02,83.33333333333334,90.09009009009009,92.34234234234235,0.963963963963964,0.519194483757019
3.0,0.025,83.78378378378379,90.09009009009009,92.34234234234235,0.8783783783783784,0.5644433498382568
3.0,0.03,83.78378378378379,90.54054054054053,92.34234234234235,0.7837837837837838,0.6111682653427124
3.0,0.035,84.23423423423422,90.990990990991,92.34234234234235,0.6441441441441441,0.6825510263442993
3.0,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7498396039009094
3.0,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.8113278150558472
3.0,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.8690859079360962
3.0,0.055,84.68468468468468,91.8918918918919,92.34234234234235,0.1891891891891892,0.9135181307792664
3.0,0.06,84.68468468468468,91.8918918918919,92.34234234234235,0.13513513513513514,0.9392073750495911
3.0,0.065,84.68468468468468,91.8918918918919,92.34234234234235,0.0945945945945946,0.9572106599807739
3.0,0.07,85.13513513513513,91.8918918918919,92.34234234234235,0.05855855855855856,0.9728753566741943
3.0,0.075,85.13513513513513,91.8918918918919,92.34234234234235,0.036036036036036036,0.9833848476409912
3.0,0.08,85.13513513513513,91.8918918918919,92.34234234234235,0.02252252252252252,0.9892632365226746
3.0,0.085,85.13513513513513,91.8918918918919,92.34234234234235,0.013513513513513514,0.993759036064148
3.0,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9982344508171082
3.0,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9982344508171082
3.0,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9982344508171082
3.0,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9982344508171082
3.0,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9982344508171082
3.0,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
3.0,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
4.0,0.0,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49988144636154175
4.0,0.005,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49988144636154175
4.0,0.01,83.33333333333334,90.09009009009009,92.34234234234235,1.0,0.49988144636154175
4.0,0.015,83.33333333333334,90.09009009009009,92.34234234234235,0.9954954954954955,0.502178430557251
4.0,0.02,83.33333333333334,90.09009009009009,92.34234234234235,0.963963963963964,0.5189922451972961
4.0,0.025,83.78378378378379,90.09009009009009,92.34234234234235,0.8783783783783784,0.5636408925056458
4.0,0.03,83.78378378378379,90.54054054054053,92.34234234234235,0.7837837837837838,0.6104961633682251
4.0,0.035,84.23423423423422,90.990990990991,92.34234234234235,0.6441441441441441,0.681475818157196
4.0,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7477241158485413
4.0,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.809037446975708
4.0,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.866985023021698
4.0,0.055,84.68468468468468,91.8918918918919,92.34234234234235,0.1891891891891892,0.91156405210495
4.0,0.06,84.68468468468468,91.8918918918919,92.34234234234235,0.13513513513513514,0.9375705122947693
4.0,0.065,84.68468468468468,91.8918918918919,92.34234234234235,0.0945945945945946,0.9561267495155334
4.0,0.07,85.13513513513513,91.8918918918919,92.34234234234235,0.05855855855855856,0.9723483324050903
4.0,0.075,85.13513513513513,91.8918918918919,92.34234234234235,0.036036036036036036,0.9830410480499268
4.0,0.08,85.13513513513513,91.8918918918919,92.34234234234235,0.02252252252252252,0.9891347289085388
4.0,0.085,85.13513513513513,91.8918918918919,92.34234234234235,0.013513513513513514,0.9936326146125793
4.0,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9981153607368469
4.0,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9981153607368469
4.0,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9981153607368469
4.0,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9981153607368469
4.0,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9981153607368469
4.0,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
4.0,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
