backbone,dataset,alpha,R1,R5,R10
CosPlace,amstertime,0.59,37.36799350121852,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.6,37.205523964256706,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.61,37.124289195775795,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.62,37.205523964256706,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.63,37.124289195775795,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.64,37.043054427294884,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.65,36.79935012185215,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.66,36.555645816409424,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.67,36.230706742485786,55.56458164094232,60.84484159220146
CosPlace,amstertime,0.68,36.3119415109667,55.727051177904144,60.84484159220146
CosPlace,amstertime,0.69,36.230706742485786,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.7,36.068237205523964,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.71,36.068237205523964,55.64581640942323,60.84484159220146
CosPlace,amstertime,0.72,36.149471974004875,55.40211210398051,60.84484159220146
CosPlace,amstertime,0.73,35.90576766856214,55.239642567018684,60.84484159220146
CosPlace,amstertime,0.74,35.90576766856214,55.239642567018684,60.84484159220146
